iter	Passed	Remaining
856	3925	654
857	3926	649
858	3928	644
859	3935	640
860	3937	635
861	3945	631
862	3949	627
863	3951	622
864	3956	617
865	3959	612
866	3967	608
867	3970	603
868	3971	598
869	3973	593
870	3976	589
871	3978	583
872	3980	579
873	3984	574
874	3985	569
875	3991	565
876	3992	559
877	3996	555
878	4003	551
879	4009	546
880	4014	542
881	4021	538
882	4025	533
883	4028	528
884	4031	523
885	4035	519
886	4036	514
887	4041	509
888	4046	505
889	4047	500
890	4054	495
891	4056	491
892	4057	486
893	4062	481
894	4065	476
895	4067	472
896	4069	467
897	4070	462
898	4074	457
899	4075	452
900	4077	448
901	4079	443
902	4085	438
903	4089	434
904	4091	429
905	4094	424
906	4110	421
907	4114	416
908	4116	412
909	4118	407
910	4120	402
911	4121	397
912	4127	393
913	4131	388
914	4136	384
915	4137	379
916	4139	374
917	4146	370
918	4158	366
919	4160	361
920	4162	357
921	4164	352
922	4174	348
923	4178	343
924	4182	339
925	4192	335
926	4197	330
927	4198	325
928	4200	321
929	4204	316
930	4209	311
931	4212	307
932	4213	302
933	4221	298
934	4225	293
935	4231	289
936	4234	284
937	4236	280
938	4239	275
939	4245	270
940	4246	266
941	4251	261
942	4257	257
943	4258	252
944	4261	247
945	4263	243
946	4270	239
947	4275	234
948	4277	229
949	4287	225
950	4293	221
951	4296	216
952	4299	212
953	4302	207
954	4322	203
955	4325	199
956	4333	194
957	4335	190
958	4340	185
959	4342	180
960	4347	176
961	4351	171
962	4359	167
963	4362	162
964	4371	158
965	4373	153
966	4375	149
967	4378	144
968	4389	140
969	4390	135
970	4398	131
971	4404	126
972	4406	122
973	4410	117
974	4412	113
975	4414	108
976	4419	104
977	4429	99
978	4431	95
979	4438	90
980	4442	86
981	4446	81
982	4448	76
983	4449	72
984	4450	67
985	4452	63
986	4456	58
987	4458	54
988	4463	49
989	4465	45
990	4467	40
991	4472	36
992	4474	31
993	4480	27
994	4487	22
995	4489	18
996	4493	13
997	4495	9
998	4499	4
999	4504	0
